Symbol,TF,Time,Type,Direction,Entry,SL,TP Level Hit,Max RR,Risk Pips
USDJPY,M15,2025-07-01 01:45:00,Weak Bearish,SELL,143.978,144.176,TP1,1.07,19.8
USDJPY,M15,2025-07-01 11:00:00,Weak Bearish,SELL,143.636,143.832,TP1,1.09,19.6
USDJPY,M15,2025-07-02 00:00:00,Strong Bullish,BUY,143.729,143.593,SL,0.39,13.6
USDJPY,M15,2025-07-02 00:15:00,Weak Bullish,BUY,143.755,143.614,SL,0.19,14.1
USDJPY,M15,2025-07-02 08:15:00,Weak Bearish,SELL,143.563,143.738,SL,0.63,17.5
USDJPY,M15,2025-07-02 11:00:00,Strong Bullish,BUY,143.683,143.538,TP1,1.12,14.5
USDJPY,M15,2025-07-02 22:00:00,Weak Bearish,SELL,143.697,143.818,TP1,1.04,12.1
GBPJPY,M15,2025-07-01 01:45:00,Weak Bearish,SELL,197.667,197.825,TP1,2.44,15.8
GBPJPY,M15,2025-07-01 05:00:00,Weak Bearish,SELL,197.503,197.64,TP1,1.9,13.7
GBPJPY,M15,2025-07-01 10:00:00,Weak Bullish,BUY,197.717,197.565,SL,0.02,15.2
GBPJPY,M15,2025-07-02 00:15:00,Weak Bullish,BUY,197.454,197.264,SL,0.47,19.0
GBPJPY,M15,2025-07-02 17:00:00,Strong Bullish,BUY,197.307,197.111,SL,0.69,19.6
GBPJPY,M15,2025-07-02 22:45:00,Weak Bullish,BUY,195.927,195.739,SL,0.43,18.8
EURJPY,M15,2025-06-30 23:45:00,Strong Bullish,BUY,169.735,169.601,SL,0.9,13.4
EURJPY,M15,2025-07-01 05:00:00,Weak Bearish,SELL,169.527,169.633,TP1,1.98,10.6
EURJPY,M15,2025-07-01 05:45:00,Strong Bearish,SELL,169.434,169.566,TP1,1.17,13.2
EURJPY,M15,2025-07-01 23:00:00,Weak Bullish,BUY,169.18,169.028,TP1,1.08,15.2
EURJPY,M15,2025-07-01 23:45:00,Weak Bullish,BUY,169.249,169.168,TP1,1.17,8.1
EURJPY,M15,2025-07-02 00:15:00,Weak Bullish,BUY,169.294,169.218,TP1,1.2,7.6
EURJPY,M15,2025-07-02 03:00:00,Weak Bearish,SELL,169.175,169.325,SL,0.0,15.0
EURJPY,M15,2025-07-02 11:00:00,Strong Bullish,BUY,169.445,169.33,SL,0.72,11.5
EURJPY,M15,2025-07-02 13:00:00,Strong Bullish,BUY,169.513,169.36,SL,0.74,15.3
EURJPY,H1,2025-07-02 06:45:00,Strong Bullish,BUY,169.41,169.21,TP1,1.08,20.0
CADJPY,M15,2025-07-01 01:45:00,Weak Bearish,SELL,105.671,105.798,SL,0.13,12.7
CADJPY,M15,2025-07-01 05:45:00,Strong Bearish,SELL,105.58,105.741,TP1,1.16,16.1
CADJPY,M15,2025-07-01 06:00:00,Weak Bearish,SELL,105.576,105.741,TP1,1.11,16.5
CADJPY,M15,2025-07-01 06:45:00,Strong Bearish,SELL,105.47,105.628,SL,0.49,15.8
CADJPY,M15,2025-07-01 09:30:00,Weak Bullish,BUY,105.692,105.534,SL,0.34,15.8
CADJPY,M15,2025-07-01 09:45:00,Weak Bullish,BUY,105.711,105.575,SL,0.25,13.6
CADJPY,M15,2025-07-01 10:30:00,Strong Bearish,SELL,105.629,105.745,TP1,1.14,11.6
CADJPY,M15,2025-07-01 10:45:00,Weak Bearish,SELL,105.575,105.733,TP1,1.11,15.8
CADJPY,M15,2025-07-01 11:00:00,Weak Bearish,SELL,105.566,105.69,TP1,1.35,12.4
CADJPY,M15,2025-07-01 15:15:00,Weak Bearish,SELL,105.066,105.225,TP1,1.28,15.9
CADJPY,M15,2025-07-01 17:30:00,Weak Bearish,SELL,104.88,105.038,SL,0.34,15.8
CADJPY,M15,2025-07-02 01:15:00,Strong Bullish,BUY,105.312,105.151,SL,0.19,16.1
CADJPY,M15,2025-07-02 04:00:00,Strong Bullish,BUY,105.085,105.01,TP1,2.05,7.5
CADJPY,M15,2025-07-02 10:15:00,Strong Bullish,BUY,105.199,105.116,TP1,1.01,8.3
CADJPY,M15,2025-07-02 11:00:00,Strong Bullish,BUY,105.243,105.175,TP1,1.56,6.8
CADJPY,M15,2025-07-02 12:45:00,Weak Bullish,BUY,105.399,105.247,TP1,1.11,15.2
CADJPY,M15,2025-07-02 13:00:00,Weak Bullish,BUY,105.445,105.307,TP1,1.22,13.8
CADJPY,M15,2025-07-02 14:45:00,Weak Bullish,BUY,105.55,105.352,SL,0.58,19.8
CADJPY,M15,2025-07-02 15:15:00,Weak Bullish,BUY,105.628,105.443,SL,0.1,18.5
CADJPY,M15,2025-07-02 16:00:00,Weak Bearish,SELL,105.519,105.647,SL,0.74,12.8
CADJPY,M15,2025-07-02 17:15:00,Weak Bullish,BUY,105.587,105.445,SL,0.54,14.2
CADJPY,M15,2025-07-02 17:30:00,Weak Bullish,BUY,105.654,105.501,SL,0.07,15.3
CADJPY,H1,2025-07-01 22:45:00,Weak Bullish,BUY,105.207,105.018,SL,0.71,18.9
CADJPY,H1,2025-07-02 06:45:00,Strong Bullish,BUY,105.248,105.058,TP1,1.49,19.0
EURUSD,M15,2025-06-30 22:45:00,Weak Bullish,BUY,1.17626,1.17484,TP1,1.11,14.2
EURUSD,M15,2025-07-01 01:45:00,Weak Bullish,BUY,1.17829,1.17734,SL,0.55,9.5
EURUSD,M15,2025-07-01 02:00:00,Weak Bullish,BUY,1.17841,1.17762,SL,0.51,7.9
EURUSD,M15,2025-07-01 04:00:00,Weak Bullish,BUY,1.17884,1.17774,TP1,1.71,11.0
EURUSD,M15,2025-07-01 05:45:00,Strong Bullish,BUY,1.17935,1.17828,TP1,1.28,10.7
EURUSD,M15,2025-07-01 07:45:00,Weak Bearish,SELL,1.17796,1.17929,SL,0.02,13.3
EURUSD,M15,2025-07-01 08:45:00,Weak Bullish,BUY,1.17907,1.17805,SL,0.26,10.2
EURUSD,M15,2025-07-01 14:15:00,Strong Bullish,BUY,1.17921,1.17741,TP1,1.37,18.0
EURUSD,M15,2025-07-01 17:00:00,Weak Bearish,SELL,1.18078,1.18187,SL,0.1,10.9
EURUSD,M15,2025-07-01 18:30:00,Weak Bearish,SELL,1.18032,1.18142,TP1,1.85,11.0
EURUSD,M15,2025-07-01 23:00:00,Weak Bullish,BUY,1.17766,1.17608,TP1,1.27,15.8
EURUSD,M15,2025-07-01 23:15:00,Weak Bullish,BUY,1.17792,1.17649,TP1,1.22,14.3
EURUSD,M15,2025-07-02 00:45:00,Strong Bullish,BUY,1.17891,1.17746,TP1,1.1,14.5
EURUSD,M15,2025-07-02 03:00:00,Strong Bearish,SELL,1.17987,1.18063,SL,0.08,7.6
EURUSD,M15,2025-07-02 03:45:00,Weak Bullish,BUY,1.18051,1.17981,SL,0.57,7.0
EURUSD,M15,2025-07-02 10:30:00,Weak Bearish,SELL,1.17957,1.18,TP1,1.26,4.3
EURUSD,M15,2025-07-02 17:15:00,Strong Bearish,SELL,1.17566,1.17707,SL,0.73,14.1
EURUSD,H1,2025-07-01 00:45:00,Weak Bullish,BUY,1.17792,1.176,TP1,1.46,19.2
GBPUSD,M15,2025-06-30 22:15:00,Weak Bearish,SELL,1.37023,1.37219,SL,0.05,19.6
GBPUSD,M15,2025-07-01 00:00:00,Strong Bullish,BUY,1.37173,1.37029,TP1,1.01,14.4
GBPUSD,M15,2025-07-01 02:00:00,Weak Bullish,BUY,1.37319,1.37195,SL,0.26,12.4
GBPUSD,M15,2025-07-01 02:45:00,Weak Bearish,SELL,1.37204,1.37339,SL,0.22,13.5
GBPUSD,M15,2025-07-01 08:45:00,Strong Bullish,BUY,1.37399,1.3728,TP1,1.21,11.9
GBPUSD,M15,2025-07-01 09:00:00,Weak Bullish,BUY,1.374,1.37285,TP1,1.24,11.5
GBPUSD,M15,2025-07-01 13:00:00,Strong Bullish,BUY,1.37525,1.37372,TP1,1.41,15.3
GBPUSD,M15,2025-07-01 14:30:00,Weak Bullish,BUY,1.37737,1.3757,SL,0.83,16.7
GBPUSD,M15,2025-07-01 17:00:00,Weak Bearish,SELL,1.37652,1.37836,TP1,1.01,18.4
GBPUSD,M15,2025-07-01 19:00:00,Weak Bearish,SELL,1.37312,1.37478,TP1,1.28,16.6
GBPUSD,M15,2025-07-01 23:15:00,Weak Bullish,BUY,1.37338,1.37206,TP1,1.19,13.2
GBPUSD,M15,2025-07-02 01:45:00,Weak Bullish,BUY,1.37396,1.3735,TP1,1.59,4.6
GBPUSD,M15,2025-07-02 07:45:00,Weak Bearish,SELL,1.3736,1.37515,TP1,1.14,15.5
GBPUSD,M15,2025-07-02 08:15:00,Strong Bullish,BUY,1.37432,1.37315,SL,0.62,11.7
GBPUSD,M15,2025-07-02 08:30:00,Weak Bullish,BUY,1.37453,1.37359,SL,0.55,9.4
GBPUSD,M15,2025-07-02 11:00:00,Weak Bearish,SELL,1.37352,1.37447,TP1,1.31,9.5
GBPUSD,M15,2025-07-02 22:45:00,Weak Bullish,BUY,1.36381,1.3622,TP1,1.71,16.1
GBPUSD,M15,2025-07-03 00:45:00,Strong Bearish,SELL,1.36345,1.364,TP1,1.05,5.5
GBPUSD,H1,2025-07-02 01:45:00,Weak Bullish,BUY,1.37408,1.37304,TP1,1.05,10.4
EURNZD,M15,2025-07-01 17:00:00,Weak Bullish,BUY,1.93204,1.93057,TP1,1.33,14.7
EURNZD,M15,2025-07-02 00:45:00,Strong Bullish,BUY,1.93497,1.9331,SL,0.44,18.7
EURNZD,M15,2025-07-02 04:30:00,Weak Bearish,SELL,1.93446,1.93551,TP1,1.07,10.5
EURNZD,M15,2025-07-02 06:00:00,Strong Bearish,SELL,1.93393,1.93534,SL,0.41,14.1
EURNZD,M15,2025-07-02 09:30:00,Weak Bearish,SELL,1.93329,1.93517,SL,0.55,18.8
GBPNZD,M15,2025-07-01 00:30:00,Weak Bearish,SELL,2.25048,2.25189,SL,0.17,14.1
GBPNZD,M15,2025-07-01 05:15:00,Strong Bullish,BUY,2.25336,2.2522,TP1,1.09,11.6
GBPNZD,M15,2025-07-01 06:45:00,Weak Bullish,BUY,2.25516,2.25325,TP1,1.47,19.1
GBPNZD,M15,2025-07-02 09:45:00,Weak Bearish,SELL,2.25197,2.25359,SL,0.64,16.2
GBPNZD,M15,2025-07-02 16:45:00,Weak Bullish,BUY,2.25618,2.25447,TP1,1.32,17.1
GBPNZD,M15,2025-07-02 17:15:00,Weak Bullish,BUY,2.25756,2.25594,SL,0.0,16.2
